Ticker,Company,Sector,Industry
A,AGILENT TECHNOLOGIES INC,Health Care,Medical - Instruments
AAPL,Apple Inc,Information Technology,Computer - Mini computers
ABBV,ABBVIE INC,Health Care,Medical - Biomedical and Genetics
ABNB,Airbnb Inc,Consumer Discretionary,Internet - Services
ABT,ABBOTT LABORATORIES,Health Care,Medical - Products
ACGL,ARCH CAPITAL GROUP LTD,Financials,Insurance - Property and Casualty
ACN,ACCENTURE PLC CL A,Information Technology,Consulting
ADBE,Adobe Inc,Information Technology,Computer - Software
ADI,Analog Devices Inc,Information Technology,Semiconductor - Analog and Mixed
ADM,ARCHER DANIELS MIDLAND CO,Consumer Staples,Food - Miscellaneous
ADP,Automatic Data Processing Inc,Industrials,Outsourcing
ADSK,Autodesk Inc,Information Technology,Computer - Software
AEE,AMEREN CORPORATION,Utilities,Utility - Electric Power
AEIS,Advanced Energy Industries Inc,Information Technology,Electronics - Misc Components
AEP,American Electric Power Co Inc,Utilities,Utility - Electric Power
AES,AES CORP,Utilities,Utility - Electric Power
AFL,AFLAC INC,Financials,Insurance - Life
AFRM,Affirm Holdings Inc,Financials,Financial - Miscellaneous Services
AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities
AIG,AMERICAN INTERNATIONAL GROUP,Financials,Insurance - Property and Casualty
AIZ,ASSURANT INC,Financials,Insurance - Property and Casualty
AJG,ARTHUR J GALLAGHER + CO,Financials,Insurance - Brokerage
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Internet - Services
ALAB,Astera Labs Inc,Information Technology,Semiconductor - Integrated Circuits
ALB,ALBEMARLE CORP,Materials,Chemical - Diversified
ALGN,ALIGN TECHNOLOGY INC,Health Care,Medical - Products
ALL,ALLSTATE CORP,Financials,Insurance - Property and Casualty
ALLE,ALLEGION PLC,Industrials,Diversified Operations
ALNY,Alnylam Pharmaceuticals Inc,Health Care,Medical - Biomedical and Genetics
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment - Wafer Fabrication
AMCR,AMCOR PLC,Materials,Containers - Paper and Packaging
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductor - Broad Line
AME,AMETEK INC,Industrials,Diversified Operations
AMGN,Amgen Inc,Health Care,Medical - Biomedical and Genetics
AMP,AMERIPRISE FINANCIAL INC,Financials,Financial - Miscellaneous Services
AMT,AMERICAN TOWER CORP,Real Estate,REIT - Other
AMZN,Amazon.com Inc,Consumer Discretionary,Internet - Commerce
ANET,ARISTA NETWORKS INC,Information Technology,Computer - Networking
AON,AON PLC CLASS A,Financials,Insurance - Brokerage
AOS,SMITH (A.O.) CORP,Industrials,Industrial - Machinery
APA,APA CORP,Energy,Oil and Gas - Exploration
APD,AIR PRODUCTS + CHEMICALS INC,Materials,Chemical - Diversified
APH,AMPHENOL CORP CL A,Information Technology,Electronic - Connectors
APLD,Applied Digital Corp,Information Technology,Computer - Services
